date,goods_name,len_p,len_n,min_p,min_n,m_p,m_n,sum_p,sum_n
2015-07-09,oil97,20,20,63500,7416,63500,23638.5,1270000,507974
2015-07-10,oil93,136,136,57500,4600,57500,18400.0,7820000,2867483
2015-07-10,oil97,32,32,63500,18077,63500,18540.0,2032000,790178
2015-07-11,oil93,118,118,57500,9200,57500,18400.0,6785000,2440376
2015-07-11,oil97,26,26,63500,18540,63500,25956.0,1651000,642135
2015-07-12,oil93,127,127,57500,9200,57500,18400.0,7302500,2544870
2015-07-12,oil97,22,22,63500,9270,63500,27810.0,1397000,559470
2015-07-13,oil93,169,169,57500,3680,57500,18400.0,9717500,3402297
2015-07-13,oil97,34,34,63500,18540,63500,27810.0,2159000,947715
2015-07-14,oil93,142,142,57500,4600,57500,18400.0,8165000,2865265
2015-07-14,oil97,41,41,63500,12051,63500,27810.0,2603500,1129692
2015-07-15,oil93,159,159,57500,8740,57500,18400.0,9142500,3329713
2015-07-15,oil97,34,34,63500,9270,63500,22248.0,2159000,841753
2015-07-16,oil93,163,163,57500,9200,57500,18400.0,9372500,3362847
2015-07-16,oil97,38,38,63500,13905,63500,25724.5,2413000,1046014
2015-07-17,oil93,177,177,57500,4600,57500,18400.0,10177500,3691921
2015-07-17,oil97,31,31,63500,9270,63500,23175.0,1968500,761743
2015-07-18,oil93,166,166,57500,4600,57500,18400.0,9545000,3421848
2015-07-18,oil97,35,35,63500,18540,63500,29201.0,2222500,990920
2015-07-19,oil93,147,147,57500,2300,57500,18400.0,8452500,2951593
2015-07-19,oil97,39,39,63500,9270,63500,26797.0,2476500,980842
2015-07-20,oil93,175,175,57500,4600,57500,18400.0,10062500,3545801
2015-07-20,oil97,29,29,63500,9270,63500,27810.0,1841500,811645
2015-07-21,oil93,171,171,55000,4600,57500,18400.0,9812500,3449417
2015-07-21,oil97,30,30,63500,9270,63500,19003.5,1905000,675760
2015-07-22,oil93,172,172,55000,9167,55000,18333.0,9460000,3412886
2015-07-22,oil97,36,36,61000,9242,61000,27265.0,2196000,881220
2015-07-23,oil93,171,171,55000,2750,55000,18333.0,9405000,3416030
2015-07-23,oil97,28,28,61000,17561,61000,27727.0,1708000,767398
2015-07-24,oil93,161,161,55000,9167,55000,18333.0,8855000,3202294
2015-07-24,oil97,28,28,61000,10167,61000,23568.0,1708000,704549
2015-07-25,oil93,149,149,55000,5042,55000,18333.0,8195000,2944258
2015-07-25,oil97,32,32,61000,12200,61000,18485.0,1952000,770361
2015-07-26,oil93,139,139,55000,9167,55000,18333.0,7645000,2772617
2015-07-26,oil97,20,20,61000,9242,61000,23799.5,1220000,475339
2015-07-27,oil93,154,154,55000,9167,55000,18333.0,8470000,3010030
2015-07-27,oil97,36,36,61000,9242,61000,20610.5,2196000,833758
2015-07-28,oil93,165,165,55000,9167,55000,18333.0,9075000,3271219
2015-07-28,oil97,39,39,61000,4630,61000,27727.0,2379000,1035252
2015-07-29,oil93,176,176,55000,1375,55000,18333.0,9680000,3293152
